r,g,b,,r,g,,r,"""-b""",,"""-b""",g
255,255,255,,255,255,,255,-255,,-255,255
0,0,0,,0,0,,0,0,,0,0
255,0,0,,255,0,,255,0,,0,0
0,255,0,,0,255,,0,0,,0,255
0,0,255,,0,0,,0,-255,,-255,0
255,192,192,,255,192,,255,-192,,-192,192
255,128,128,,255,128,,255,-128,,-128,128
255,64,64,,255,64,,255,-64,,-64,64
204,0,0,,204,0,,204,0,,0,0
153,0,0,,153,0,,153,0,,0,0
102,0,0,,102,0,,102,0,,0,0
51,0,0,,51,0,,51,0,,0,0
192,255,192,,192,255,,192,-192,,-192,255
128,255,128,,128,255,,128,-128,,-128,255
64,255,64,,64,255,,64,-64,,-64,255
0,204,0,,0,204,,0,0,,0,204
0,153,0,,0,153,,0,0,,0,153
0,102,0,,0,102,,0,0,,0,102
0,51,0,,0,51,,0,0,,0,51
192,192,255,,192,192,,192,-255,,-255,192
128,128,255,,128,128,,128,-255,,-255,128
64,64,255,,64,64,,64,-255,,-255,64
0,0,204,,0,0,,0,-204,,-204,0
0,0,153,,0,0,,0,-153,,-153,0
0,0,102,,0,0,,0,-102,,-102,0
0,0,51,,0,0,,0,-51,,-51,0
255,255,192,,255,255,,255,-192,,-192,255
255,255,128,,255,255,,255,-128,,-128,255
255,255,64,,255,255,,255,-64,,-64,255
255,255,0,,255,255,,255,0,,0,255
204,204,0,,204,204,,204,0,,0,204
153,153,0,,153,153,,153,0,,0,153
102,102,0,,102,102,,102,0,,0,102
51,51,0,,51,51,,51,0,,0,51
192,255,255,,192,255,,192,-255,,-255,255
128,255,255,,128,255,,128,-255,,-255,255
64,255,255,,64,255,,64,-255,,-255,255
0,255,255,,0,255,,0,-255,,-255,255
0,204,204,,0,204,,0,-204,,-204,204
0,153,153,,0,153,,0,-153,,-153,153
0,102,102,,0,102,,0,-102,,-102,102
0,51,51,,0,51,,0,-51,,-51,51
255,192,255,,255,192,,255,-255,,-255,192
255,128,255,,255,128,,255,-255,,-255,128
255,64,255,,255,64,,255,-255,,-255,64
255,0,255,,255,0,,255,-255,,-255,0
204,0,204,,204,0,,204,-204,,-204,0
153,0,153,,153,0,,153,-153,,-153,0
102,0,102,,102,0,,102,-102,,-102,0
51,0,51,,51,0,,51,-51,,-51,0
255,234,192,,255,234,,255,-192,,-192,234
255,211,128,,255,211,,255,-128,,-128,211
255,188,64,,255,188,,255,-64,,-64,188
255,165,0,,255,165,,255,0,,0,165
204,132,0,,204,132,,204,0,,0,132
153,99,0,,153,99,,153,0,,0,99
102,66,0,,102,66,,102,0,,0,66
224,192,224,,224,192,,224,-224,,-224,192
192,128,192,,192,128,,192,-192,,-192,128
160,64,160,,160,64,,160,-160,,-160,64
128,0,128,,128,0,,128,-128,,-128,0
76,0,76,,76,0,,76,-76,,-76,0
50,0,50,,50,0,,50,-50,,-50,0
24,0,24,,24,0,,24,-24,,-24,0
204,204,204,,204,204,,204,-204,,-204,204
153,153,153,,153,153,,153,-153,,-153,153
102,102,102,,102,102,,102,-102,,-102,102
51,51,51,,51,51,,51,-51,,-51,51
50,150,150,,50,150,,50,-150,,-150,150
100,200,200,,100,200,,100,-200,,-200,200
220,60,120,,220,60,,220,-120,,-120,60
160,80,80,,160,80,,160,-80,,-80,80
